RN,State,County,landarea,totpop,physician,enroll,percpub,civlabor,unemp,farmpop,numfarm,farmacre,fedgrant,fedciv,milit,veterans,percviet
27,AL,Escambia,948,36023,24,6931,95.4,15247,1339,531,414,90646,122.3,85,370,3723,27.1
48,AL,Marshall,567,73524,44,11928,98.6,38803,3189,1592,1582,136599,235.7,316,748,8510,29.1
85,AK,Prince of Wales,7325,6408,7,1317,98.6,2787,383,71,2,214,32.2,126,63,809,44.6
126,AR,Cross,616,19261,11,4066,99.1,8336,704,762,492,339830,81.4,87,107,1505,23.9
158,AR,Newton,823,7649,3,1579,99.2,3280,270,600,562,98106,31.7,71,44,807,25.5
186,CA,Butte,1640,188377,327,27899,94.5,77500,7303,2818,2030,494530,688,570,577,23958,27.6
254,CO,Custer,739,2140,1,364,97.5,789,42,145,130,150334,7,11,10,347,37.8
286,CO,Ouray,542,2497,3,429,99.3,1919,109,112,88,-99,5.7,5,11,337,35.9
305,CT,Hartford,736,847009,2851,128982,90,470164,32673,623,656,60277,4051.1,8504,2975,93683,24.9
340,FL,Hardee,637,20084,11,3802,99.1,9368,987,1202,1130,303892,60.6,55,44,2071,21.4
350,FL,Lake,953,161228,167,19777,91.5,58285,5182,1582,1285,232657,664.2,499,403,26923,21.6
371,FL,St. Lucie,573,161106,176,22769,90.6,65078,8966,257,522,297433,543.7,536,348,23205,21.1
422,GA,Crisp,274,20377,20,4112,95.1,8980,573,341,192,112431,67.3,64,170,1893,32.3
432,GA,Echols,404,2291,0,483,100,875,39,162,80,13745,4.8,5,19,242,30.2
527,GA,Walton,329,40750,29,7210,95.2,17404,955,756,469,65220,96.2,93,307,3551,28.4
559,ID,Camas,1075,755,0,147,100,365,24,66,117,174842,5.9,21,0,82,32.9
586,ID,Shoshone,2634,13644,9,2683,97.8,5041,981,29,46,5148,59.5,203,75,2070,29.3
606,IL,Cook,946,5139341,15153,853115,81.5,2715405,196796,196,389,46907,20151.2,61976,16480,457880,24.2
617,IL,Ford,486,13914,11,2555,97.6,7265,481,1477,729,297013,54.4,69,40,1741,32.2
630,IL,Jasper,494,10519,3,1994,91.7,5828,434,2795,894,262198,31.3,52,31,1073,22.7
639,IL,Lake,448,541047,1093,88975,88.9,319950,14863,586,448,82349,1641.8,9399,21454,53060,32.7
698,IN,Boone,423,38381,81,7062,95.1,21157,716,2258,822,227524,83.6,111,213,4283,29.5
702,IN,Clark,375,89658,109,15779,92.4,47787,3025,1310,691,118810,314.6,2980,488,11222,31.8
703,IN,Clay,358,25078,11,4506,95.9,10971,748,1811,646,162594,82.9,80,137,2874,22.2
743,IN,Martin,336,10510,4,1923,95.2,5353,374,695,361,67373,244.9,5240,109,1359,31.2
780,IN,Washington,515,24398,9,4443,99.1,11411,882,2119,1034,195118,63.4,69,128,2745,29.7
895,KS,Cheyenne,1020,3189,2,555,98.6,1414,34,493,493,619870,20.3,22,39,350,11.7
917,KS,Grant,575,7625,4,1712,97.8,3626,116,269,303,323138,21.6,27,81,624,38.9
932,KS,Kiowa,722,3582,2,643,97,1828,44,356,310,392245,31.8,32,41,346,18.8
943,KS,Meade,979,4230,3,7747,100,1978,51,306,464,582454,23.1,27,51,432,24.8
1040,KY,Henry,289,13486,5,2205,98.3,7771,556,2043,1093,166376,38.6,64,79,1253,32.3
1137,LA,Lafourche,1085,86723,70,17956,88.9,32767,2050,667,366,122862,210.1,165,387,6113,24.8
1145,LA,Ouachita,611,144910,268,28271,92,71299,4542,595,429,87400,442.9,648,649,14694,31.5
1149,LA,Red River,389,9257,6,1957,89.8,4101,496,217,251,112884,77.6,40,47,696,23.9
1156,LA,St. John the Baptist,219,41179,20,9147,70,17626,1612,15,39,18826,114.8,75,181,3245,33.7
1191,MD,Baltimore,599,705138,1269,96046,82.1,392248,22381,1734,917,92806,2864.4,15628,3972,86248,25.4
1219,MA,Hampden,619,452140,904,74801,86.1,216333,20697,343,490,46747,1826.6,5890,2342,53284,24.9
1269,MI,Lake,568,9029,2,1551,95.6,3591,395,162,111,18555,43.1,70,20,1392,21.6
1303,MI,Schoolcraft,1178,8478,6,1529,91,3746,532,63,52,-99,38.8,67,18,1138,23.6
1363,MN,Norman,876,7709,2,1600,99.9,3764,264,1173,718,472449,40.1,58,36,914,26.8
1381,MN,Sibley,589,14274,7,2791,89.3,6804,401,3310,1252,336712,43.9,52,66,1457,25.3
1411,MS,Copiah,777,27831,12,5763,88.4,9994,1157,816,555,151921,108.3,83,158,2370,26.7
1485,MO,Bates,849,15047,6,2794,95.9,6110,511,2212,1294,429204,61.3,79,108,1760,20.3
1494,MO,Cape Girardeau,579,63318,137,9650,85.9,36328,1731,2299,1365,266557,194.4,328,440,6641,29.2
1544,MO,Miller,592,21267,3,3917,97.4,8923,1125,1680,1091,233057,65.1,65,133,2567,28.2
1548,MO,Montgomery,539,11264,2,2012,98.5,5300,404,1315,832,235002,42.7,62,79,1505,26.6
1554,MO,Osage,606,12117,1,2208,77.1,6429,359,2124,1160,300812,30.6,49,79,1379,29.6
1572,MO,Ste. Genevieve,502,16163,7,2919,74.2,6590,562,1052,666,178570,39.7,37,112,1988,29.5
