"idnr","emplnr","turnover"
1,10,6934
2,7,2296
3,4,1863
4,40,53699
5,1,40
6,2,2618
7,57,52070
8,1,58
9,1,412
10,0,5
11,26,16692
12,1,381
13,77,95016
14,82,75494
15,1,285
16,1,485
17,0,8
18,36,79162
19,5,3536
20,0,0
21,6,7098
22,26,20403
23,4,2361
24,1,357
25,3,1422
26,1,373
27,1,171
28,0,20
29,1,705
30,1,222
31,1,742
32,5,4132
33,1,10019
34,1,89
35,1,261
36,1,134
37,1,92
38,14,8297
39,11,8600
40,32,21370
41,34,28287
42,25,32901
43,37,52581
44,26,19121
45,28,17029
46,4,2324
47,21,25917
48,3,1331
49,28,17058
50,105,107298
51,9,3836
52,5,3576
53,1,130
54,28,94879
55,5,5554
56,34,49304
57,16,8889
58,3,1001
59,1,228
60,13,5836
61,12,7531
62,21,38443
63,23,15281
64,8,4607
65,48,21955
66,10,5070
67,25,25439
68,20,14590
69,8,4797
70,6,12147
71,2,3288
72,30,30700
73,2,1194
74,37,19179
75,28,18388
76,3,475
77,4,1203
78,15,16483
79,11,6658
80,1,379
81,51,24848
82,3,2000
83,1,934
84,4,2728
85,9,8905
86,5,3222
87,50,100193
88,9,6844
89,1,33
90,23,18265
91,11,9585
92,21,9531
93,28,17249
94,24,20291
95,43,20779
96,9,5832
97,4,2568
98,1,729
99,11,6498
100,5,2785
101,72,103865
102,1,3441
103,22,9478
104,27,54079
105,1,133
106,19,19349
107,8,7370
108,146,247791
109,15,15844
110,1,987
111,1,226
112,7,4515
113,12,11732
114,54,32029
115,10,4543
116,3,1441
117,14,14705
118,5,3166
119,75,90780
120,23,22435
121,7,2019
122,5,3768
123,12,5923
124,13,14833
125,3,1593
126,1,1810
127,6,4412
128,5,2324
129,1,3637
130,0,14
131,16,12635
132,1,833
133,11,7136
134,7,7006
135,8,5361
136,5,2146
137,11,8084
138,2,1706
139,2,1786
140,52,84508
141,45,25239
142,1,642
143,1,400
144,5,4030
145,2,325
146,6,3744
147,28,15938
148,1,565
149,1,98
150,5,3730
151,8,11681
152,3,1034
153,6,4542
154,4,1693
155,2,5543
156,1,190
157,1,31
158,5,1588
159,1,1036
160,8,9129
161,1,260
162,2,1427
163,4,2373
164,1,60
165,14,11081
166,1,766
167,23,23403
168,28,16176
169,1,213
170,8,10170
171,1,431
172,1,448
173,53,32205
174,1,126
175,8,3443
176,23,41508
177,1,473
178,1,287
179,5,4727
180,1,182
181,2,1720
182,1,635
183,1,222
184,1,402
185,0,13
186,2,797
187,4,4555
188,6,2405
189,2,1854
190,4,3684
191,2,1149
192,5,7299
193,2,1491
194,15,7905
195,6,320
196,13,5484
197,10,10173
198,1,1556
199,19,12595
200,5,3324
201,1,278
202,5,702
203,1,492
204,8,3594
205,1,99
206,2,1486
207,9,16084
208,55,132924
209,3,2283
210,3,3465
211,1,84
212,8,6273
213,2,2881
214,0,30
215,1,3444
216,1,2361
217,1,33
218,3,3110
219,7,3935
220,9,3862
221,7,4373
222,4,1410
223,1,331
224,27,25342
225,3,1123
226,6,1317
227,2,1414
228,30,23687
229,2,147
230,20,16743
231,1,2129
232,6,3355
233,6,3140
234,43,18500
235,1,5784
236,2,1076
237,1,289
238,5,9432
239,55,38640
240,1,689
241,16,14020
242,1,128
243,1,33
244,6,4379
245,1,344
246,0,10
247,5,2640
248,1,152
249,1,83
250,8,5159
251,1,947
252,1,37
253,1,1403
254,1,388
255,1,561
256,1,118
257,1,534
258,2,336
259,1,236
260,1,426
261,2,326
262,1,233
263,1,318
264,1,1265
265,1,296
266,1,1348
267,1,140
268,1,401
269,1,543
270,0,6
271,1,273
272,4,988
273,1,113
274,0,9
275,1,636
276,1,338
277,1,72
278,1,956
279,1,166
280,1,400
281,1,90
282,1,100
283,1,868
284,1,903
285,1,10
286,1,25
287,1,89
288,0,4
289,1,136
290,5,1252
291,1,411
292,1,1791
293,1,19
294,1,222
295,1,592
296,1,126
297,1,626
298,1,595
299,1,553
300,1,146
301,1,94
302,1,48
303,2,1875
304,1,104
305,1,201
306,0,15
307,1,55
308,2,1322
309,4,8139
310,2,1301
311,2,1174
312,4,2339
313,30,25373
314,1,15145
315,3,2094
316,1,468
317,4,1972
318,1,1102
319,1,526
320,10,2677
321,1,73
322,0,928
323,9,8396
324,1,134
325,2,1159
326,13,8156
327,2,1090
328,1,125
329,1,149
330,1,332
331,9,691
332,2,2038
333,1,161
334,1,235
335,1,130
336,1,32
337,3,1706
338,1,298
339,1,1528
340,1,266
341,1,672
342,0,30
343,17,9887
344,1,76
345,15,20334
346,1,59
347,1,60
348,1,106
349,1,666
350,1,43
351,1,659
352,1,926
353,8,3965
354,1,502
355,1,407
356,1,548
357,2,2022
358,2,320
359,1,430
360,33,32310
361,3,2249
362,1,839
363,1,659
364,1,399
365,7,2728
366,1,474
367,1,131
368,1,280
369,1,49
370,0,14
371,1,80
372,2,722
373,1,987
374,2,2442
375,1,123
376,1,206
377,1,345
378,1,40
379,1,325
380,1,1562
381,0,28
382,2,693
383,1,21
384,1,54
385,1,615
386,46,39000
387,1,744
388,2,220
389,3,760
390,1,62
391,2,3775
392,4,1023
393,4,194
394,6,5991
395,3,2036
396,1,98
397,1,144
398,1,102
399,3,2127
400,1,435
401,0,23
402,1,786
403,1,312
404,3,2021
405,1,2236
406,30,32918
407,5,3143
408,1,241
409,22,11931
410,18,20245
411,1,41
412,0,412
413,1,705
414,4,2142
415,3,1766
